brand,model,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,
Micromax,Funbook Pro,No,No,2012 August,-,,No,TFT capacitive touchscreen,10.1 inches,Android 4.0.3 (Ice Cream Sandwich),1.2 GHz Cortex-A8,,Mali-400,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,VGA,No,Yes,Yes,Wi-Fi 802.11 b/g,No,,No,Yes,Accelerometer,Non-removable Li-Ion 5600 mAh battery,Silver| Black,170,http://cdn2.gsmarena.com/vv/bigpic/micromax-funbook-pro.jpg,
Micromax,A100,Yes,Yes,2012 August,142.2 x 72.6 x 11.9 mm (5.60 x 2.86 x 0.47 in),168,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,5.0 inches (~66.7% screen-to-body ratio),Android 4.0.3 (Ice Cream Sandwich),1.0 GHz Scorpion,,Adreno 200,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black,160,http://cdn2.gsmarena.com/vv/bigpic/micromax-a100.jpg,
Micromax,A90s,Class 12,Class 12,2012  Q3,127.2 x 66.8 x 9.8 mm (5.01 x 2.63 x 0.39 in),118.4,Dual SIM (Mini-SIM),Super AMOLED capacitive touchscreen  256K colors,4.3 inches (~61.9% screen-to-body ratio),Android 4.0.3 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6577,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,8 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1600 mAh battery,Black,190,http://cdn2.gsmarena.com/vv/bigpic/micromax-a90s.jpg,
Micromax,A90,Yes,Yes,2012 July,125 x 65 x 10.6 mm (4.92 x 2.56 x 0.42 in),,Dual SIM (Mini-SIM),AMOLED capacitive touchscreen  256K colors,4.3 inches (~64.8% screen-to-body ratio),Android 4.0.3 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,8 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1600 mAh battery,Black,200,http://cdn2.gsmarena.com/vv/bigpic/micromax-a90.jpg,
Micromax,A84,Yes,Yes,2012 August,125 x 65 x 10.6 mm (4.92 x 2.56 x 0.42 in),,Dual SIM (Mini-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,3.98 inches (~55.5% screen-to-body ratio),Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),,,5 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 1630 mAh battery,Black,150,http://cdn2.gsmarena.com/vv/bigpic/micromax-a84.jpg,
Micromax,A80,Yes,Yes,2012 August,129.5 x 64 x 13.5 mm (5.10 x 2.52 x 0.53 in),,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,3.75 inches (~48.3% screen-to-body ratio),Android 2.3.4 (Gingerbread),800 MHz Cortex-A9,Mediatek MT6573,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),,256 MB RAM,5 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 2500 mAh battery,Black,120,http://cdn2.gsmarena.com/vv/bigpic/micromax-a80.jpg,
Micromax,Superfone Punk A44,Yes,No,2012 August,112 x 62 x 14.3 mm (4.41 x 2.44 x 0.56 in),,Dual SIM (Mini-SIM),TFT capacitive touchscreen  65K colors,3.5 inches (~54.6% screen-to-body ratio),Android 2.3.6 (Gingerbread),800 MHz Cortex-A9,Mediatek MT6513,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),,512 MB RAM,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n,No,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1200 mAh battery,White,60,http://cdn2.gsmarena.com/vv/bigpic/micromax-superfone-punk-a44.jpg,
Micromax,A25,Class 12,Class 12,2012 October,104.5 x 56 x 13 mm (4.11 x 2.20 x 0.51 in),102,Dual SIM (Mini-SIM),TFT capacitive touchscreen  256K colors,2.8 inches (~41.5% screen-to-body ratio),Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6515,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,1.3 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n,No,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1280 mAh battery,Black,50,http://cdn2.gsmarena.com/vv/bigpic/micromax-a25.jpg,
Micromax,X101,Class 12,No,2012 September,-,,Dual SIM (Mini-SIM),TFT  65K colors,1.77 inches,,,,,microSD  up to 4 GB (dedicated slot),32 MB ROM,16 MB RAM,VGA,No,Yes,No,No,No,,FM radio| recording,,,Removable Li-Ion 1000 mAh battery,White/Black| Yellow/Black,10,http://cdn2.gsmarena.com/vv/bigpic/micromax-x101.jpg,
Micromax,X291,Class 12,Class 12,2012 May,119 x 54 x 12.6 mm (4.69 x 2.13 x 0.50 in),98.6,Dual SIM (Mini-SIM),TFT,2.6 inches (~32.6% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,No,No,,FM radio,Yes,,Removable Li-Ion 1450 mAh battery,White| Black| Silver,30,http://cdn2.gsmarena.com/vv/bigpic/micromax-x291.jpg,
